"day","month","year","time","speed_limit","maximum_speed","vehicles_count","hourly_count","LAT","LNG"
1,5,2016,10,0,0,0,136,-37.789285,144.968952
1,5,2016,10,0,0,0,179,-37.78881,144.965314
1,5,2016,10,0,0,0,218,-37.810551,144.970219
1,5,2016,10,0,0,0,779,-37.815961,144.966504
1,5,2016,10,0,0,0,186,-37.812161,144.956369
1,5,2016,10,0,0,0,1162,-37.818271,144.967062
1,5,2016,10,0,0,0,878,-37.819031,144.954035
1,5,2016,10,0,0,0,342,-37.812227,144.962225
1,5,2016,10,0,0,0,874,-37.81083,144.963134
1,5,2016,10,0,0,0,697,-37.825394,144.953111
1,5,2016,10,0,0,0,201,-37.814252,144.942659
1,5,2016,10,0,0,0,1218,-37.819261,144.968357
1,5,2016,10,0,0,0,1114,-37.80758,144.956785
1,5,2016,10,0,0,0,293,-37.80758,144.956785
1,5,2016,10,0,0,0,155,-37.812646,144.959686
1,5,2016,10,0,0,0,379,-37.820034,144.963055
1,5,2016,10,0,0,0,127,-37.798933,144.963945
1,5,2016,10,0,0,0,110,-37.818285,144.952776
1,5,2016,10,0,0,0,540,-37.809809,144.96519
1,5,2016,10,0,0,0,1268,-37.821222,144.968534
1,5,2016,10,0,0,0,53,-37.806426,144.960759
1,5,2016,10,0,0,0,91,-37.815423,144.939177
1,5,2016,10,0,0,0,113,-37.823926,144.94719
1,5,2016,11,0,0,0,350,-37.808527,144.971467
1,5,2016,11,0,0,0,2886,-37.817321,144.967349
1,5,2016,11,0,0,0,1870,-37.815058,144.966617
1,5,2016,11,0,0,0,569,-37.821407,144.968775
1,5,2016,11,0,0,0,162,-37.800473,144.964411
1,5,2016,11,0,0,0,553,-37.813076,144.968004
1,5,2016,11,0,0,0,101,-37.815372,144.974894
1,5,2016,11,0,0,0,1420,-37.817768,144.967191
1,5,2016,11,0,0,0,598,-37.812618,144.965491
1,5,2016,11,0,0,0,1991,-37.81296,144.963769
1,5,2016,11,0,0,0,172,-37.815329,144.973305
1,5,2016,11,0,0,0,128,-37.814334,144.972395
1,5,2016,11,0,0,0,293,-37.814457,144.973654
1,5,2016,11,0,0,0,201,-37.819493,144.954064
1,5,2016,11,0,0,0,103,-37.796674,144.964864
1,5,2016,11,0,0,0,128,-37.813911,144.969905
1,5,2016,11,0,0,0,957,-37.818121,144.95728
1,5,2016,11,0,0,0,1632,-37.813887,144.964405
1,5,2016,11,0,0,0,189,-37.789285,144.968952
1,5,2016,11,0,0,0,252,-37.78881,144.965314
1,5,2016,11,0,0,0,403,-37.810551,144.970219
1,5,2016,11,0,0,0,873,-37.815961,144.966504
1,5,2016,11,0,0,0,206,-37.812161,144.956369
1,5,2016,11,0,0,0,1195,-37.818271,144.967062
1,5,2016,11,0,0,0,849,-37.819031,144.954035
1,5,2016,11,0,0,0,508,-37.812227,144.962225
1,5,2016,11,0,0,0,1191,-37.81083,144.963134
1,5,2016,11,0,0,0,829,-37.825394,144.953111
1,5,2016,11,0,0,0,208,-37.814252,144.942659
1,5,2016,11,0,0,0,1522,-37.819261,144.968357
1,5,2016,11,0,0,0,1283,-37.80758,144.956785
1,5,2016,11,0,0,0,335,-37.80758,144.956785
1,5,2016,11,0,0,0,182,-37.812646,144.959686
1,5,2016,11,0,0,0,829,-37.820034,144.963055
1,5,2016,11,0,0,0,135,-37.798933,144.963945
